index,小区,市区,价格,户型,楼层,面积,朝向,装修,电梯
165,江南国际大厦,南岗,192.0,2室1厅1厨1卫,低楼层 ,210.5,西南,简装,有
166,欧美亚世界阳光,松北,120.0,3室1厅1厨2卫,中楼层 ,171.25,南,精装,无
167,广信新城,松北,25.0,1室1厅1厨1卫,低楼层 ,60.0,南,其他,有
168,世茂威廉公馆,松北,70.8,2室1厅1厨1卫,高楼层 ,99.83,南,精装,无
169,珠江帝景,香坊,59.8,2室1厅1厨1卫,低楼层 ,85.0,南,精装,有
170,康泰嘉园,道里,78.0,2室1厅1厨1卫,中楼层 ,85.81,南,简装,有
171,信恒现代城,南岗,95.8,2室1厅1厨1卫,高楼层 ,90.2,南,精装,无
172,玫瑰湾珑岸,道里,190.0,2室1厅1厨1卫,中楼层 ,130.1,南,其他,有
173,北岸明珠,松北,57.0,1室0厅1厨1卫,低楼层 ,58.58,南,简装,有
174,金色江湾(松北区),松北,69.8,1室1厅1厨1卫,中楼层 ,68.35,南,毛坯,有
175,西骑兵街,香坊,19.5,1室1厅1厨1卫,高楼层 ,33.0,南,简装,无
176,安埠小区北区,香坊,115.0,3室1厅1厨1卫,低楼层 ,143.94,南,简装,未知
177,巴陵街,南岗,37.5,2室0厅1厨1卫,中楼层 ,47.27,南,简装,无
178,十字街,南岗,38.8,2室1厅1厨1卫,低楼层 ,55.33,南,简装,无
179,华山小区,南岗,90.0,3室1厅1厨1卫,中楼层 ,123.32,南,简装,无
180,熙郡印象馨园,道里,78.0,2室1厅1厨1卫,中楼层 ,116.0,南,毛坯,有
181,汇锦御江湾,松北,102.8,2室2厅1厨1卫,中楼层 ,86.38,南,精装,有
182,康泰嘉园,道里,138.0,2室1厅1厨1卫,高楼层 ,131.0,南,其他,有
183,天玖澜湾墅,松北,95.0,2室2厅1厨1卫,中楼层 ,121.54,南,毛坯,有
184,群力新城南区,道里,168.0,2室2厅1厨1卫,低楼层 ,135.0,南,简装,有
185,鲁商·松江新城,南岗,123.0,2室1厅1厨1卫,中楼层 ,94.0,南,其他,有
186,欧美亚世界阳光,松北,70.0,2室1厅1厨1卫,中楼层 ,94.1,东南,其他,有
187,果园星城E区,香坊,76.8,2室1厅1厨1卫,中楼层 ,102.52,南,其他,有
188,桥西小区,南岗,45.0,1室1厅1厨1卫,地下室 ,100.35,南,简装,无
189,辽河小区,南岗,37.6,1室1厅1厨1卫,中楼层 ,52.13,南,简装,无
190,你好荷兰城,松北,125.0,3室2厅1厨2卫,高楼层 ,161.17,南,精装,有
191,罗马公元,香坊,74.8,2室1厅1厨1卫,中楼层 ,68.0,东北,精装,有
192,中财公寓,道里,103.0,2室1厅1厨1卫,中楼层 ,91.6,东北,精装,有
193,美域江岛,松北,231.0,3室2厅1厨3卫,高楼层 ,194.6,东南,精装,有
194,果园星城A区,香坊,69.8,3室1厅1厨1卫,中楼层 ,111.22,西,精装,无
195,华润中海江城,松北,100.0,3室1厅1厨1卫,中楼层 ,119.4,南,毛坯,有
196,世纪花园C区,松北,105.0,3室2厅1厨2卫,中楼层 ,145.0,南,简装,有
197,中山路,南岗,33.8,1室1厅1厨1卫,中楼层 ,56.39,东北,简装,无
198,星光耀广场二期,道里,470.0,4室2厅1厨2卫,高楼层 ,122.0,南,精装,有
199,恒祥城二期,道里,83.0,2室1厅1厨1卫,中楼层 ,83.3,南,精装,无
200,海富山水文园二期,香坊,99.8,3室2厅1厨2卫,中楼层 ,151.08,南,其他,未知
201,悦山国际一期,道外,188.0,3室2厅1厨2卫,高楼层 ,163.58,南,精装,有
202,鲁商凤凰城,南岗,85.8,2室1厅1厨1卫,高楼层 ,87.0,南,其他,有
203,万达华园,松北,135.0,3室2厅1厨2卫,高楼层 ,149.12,南,其他,有
204,金谷城,南岗,45.0,3室1厅1厨1卫,中楼层 ,75.0,南,其他,未知
205,开运花园,香坊,110.0,2室2厅1厨1卫,中楼层 ,118.79,西,精装,无
206,裕赐俯季,南岗,165.0,2室1厅1厨1卫,中楼层 ,102.44,南,精装,有
207,城市之星,松北,78.0,1室1厅1厨1卫,低楼层 ,65.13,南,其他,有
208,乡社街东区,道里,35.0,2室1厅1厨1卫,中楼层 ,60.73,南,简装,未知
209,东方玫瑰园,香坊,69.8,2室1厅1厨1卫,低楼层 ,82.69,南,简装,未知
210,龙跃金水湾,香坊,142.0,3室2厅1厨2卫,中楼层 ,135.0,南,其他,有
211,钻石湾,松北,149.8,2室1厅1厨2卫,低楼层 ,114.0,南,毛坯,有
212,信恒现代城,南岗,163.0,3室2厅1厨2卫,中楼层 ,163.65,南,精装,有
213,闽江小区,道外,95.8,3室1厅1厨1卫,中楼层 ,150.92,南,简装,无
214,巴山街,南岗,33.7,2室0厅1厨1卫,中楼层 ,45.14,南,精装,无
215,河松小区一期,道里,86.0,3室1厅1厨1卫,高楼层 ,171.63,东,其他,无
216,恒大锦苑,松北,61.0,1室1厅1厨1卫,高楼层 ,67.0,南,其他,有
217,恒盛皇家花园,道里,138.0,2室2厅1厨1卫,低楼层 ,100.56,南,精装,有
218,万达华府C区,南岗,198.0,2室1厅1厨2卫,高楼层 ,108.0,南,其他,有
219,融创中园,松北,85.0,3室1厅1厨1卫,中楼层 ,108.0,南,简装,有
220,万达华园,松北,122.0,3室2厅1厨2卫,低楼层 ,136.13,南,其他,有
221,石化街,香坊,65.0,2室1厅1厨1卫,高楼层 ,63.55,东,其他,未知
222,锦江绿色家园,道里,92.0,3室1厅1厨1卫,中楼层 ,137.84,东,精装,无
223,中海寰宇天下,道里,74.0,1室1厅1厨1卫,低楼层 ,38.0,西,其他,有
224,都市秀景,道里,69.8,2室1厅1厨1卫,中楼层 ,97.0,南,精装,有
225,海富锦园,道里,78.0,1室1厅1厨1卫,高楼层 ,57.74,南,简装,有
226,滨江新城好民居,道外,62.0,2室1厅1厨1卫,低楼层 ,63.73,南,简装,有
227,清滨花园,南岗,183.0,1室1厅1厨1卫,低楼层 ,78.08,西南,毛坯,有
228,爱达·九溪,南岗,185.0,2室1厅1厨1卫,中楼层 ,125.51,南,精装,有
229,马端街,南岗,59.0,3室1厅1厨1卫,中楼层 ,93.0,南,简装,无
